Marie-Do Aeschlimann
Pascal Allizard
Jean-Claude Anglars
Jocelyne Antoine
Cathy Apourceau-Poly
Jean-Michel Arnaud
Viviane Artigalas
Jérémy Bacchi
Jean Bacci
Jean-Pierre Bansard
Pierre Barros
Philippe Bas
Arnaud Bazin
Audrey Bélim
Bruno Belin
Marie-Jeanne Bellamy
Nadine Bellurot
Catherine Belrhiti
Guy Benarroche
Martine Berthet
Christian Bilhac
Annick Billon
Olivier Bitz
Étienne Blanc
Grégory Blanc
Jean-Baptiste Blanc
Florence Blatrix Contat
Yves Bleunven
Éric Bocquet
Christine Bonfanti-Dossat
François Bonhomme
François Bonneau
Philippe Bonnecarrère
Nicole Bonnefoy
Michel Bonnus
Alexandra Borchio Fontimp
Denis Bouad
Gilbert Bouchet
Corinne Bourcier
Hussein Bourgi
Jean-Marc Boyer
Valérie Boyer
Jean-Luc Brault
Isabelle Briquet
Max Brisson
Ian Brossat
Colombe Brossel
Céline Brulin
Christian Bruyen
François-Noël Buffet
Bernard Buis
Laurent Burgoa
Frédéric Buval
Henri Cabanel
Alain Cadec
Olivier Cadic
Guislain Cambier
Christian Cambon
Marion Canalès
Agnès Canayer
Michel Canévet
Vincent Capo-Canellas
Emmanuel Capus
Rémi Cardon
Marie-Arlette Carlotti
Marie-Claire Carrère-Gée
Maryse Carrère
Alain Cazabonne
Samantha Cazebonne
Christophe Chaillou
Anne Chain-Larché
Patrick Chaize
Yan Chantrel
Daniel Chasseing
Alain Chatillon
Patrick Chauvet
Cédric Chevalier
Guillaume Chevrollier
Marta de Cidrac
Olivier Cigolotti
Marie-Carole Ciuntu
Catherine Conconne
Hélène Conway-Mouret
Evelyne Corbière Naminzo
Jean-Pierre Corbisez
Édouard Courtial
Thierry Cozic
Cécile Cukierman
Pierre Cuypers
Karine Daniel
Ronan Dantec
Laure Darcos
Mathieu Darnaud
Jérôme Darras
Raphaël Daubet
Marc-Philippe Daubresse
Vincent Delahaye
Nathalie Delattre
Bernard Delcros
Patricia Demas
Stéphane Demilly
Chantal Deseyne
Brigitte Devésa
Gilbert-Luc Devinaz
Franck Dhersin
Catherine Di Folco
Élisabeth Doineau
Thomas Dossus
Sabine Drexler
Alain Duffourg
Catherine Dumas
Françoise Dumont
Laurent Duplomb
Jérôme Durain
Nicole Duranton
Aymeric Durox
Vincent Éblé
Frédérique Espagnac
Dominique Estrosi Sassone
Jacqueline Eustache-Brinio
Agnès Evren
Sébastien Fagnen
Daniel Fargeot
Gilbert Favreau
Rémi Féraud
Corinne Féret
Jacques Fernique
Bernard Fialaire
Jean-Luc Fichet
Isabelle Florennes
Philippe Folliot
Stéphane Fouassin
Christophe-André Frassa
Amel Gacquerre
Laurence Garnier
Françoise Gatel
Fabien Gay
Fabien Genet
Frédérique Gerbaud
Hervé Gillé
Annick Girardin
Éric Gold
Guillaume Gontard
Béatrice Gosselin
